Issue code,Issue name,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
"016450","HansaeYes24Holdings","4300","20","0.47","4270","4345","4270","65915","283532360","172000000000","40000000"
"004960","HanshinConst","8380","60","0.72","8320","8380","8170","7818","64473420","96962482760","11570702"
"011700","HanshinMach","3655","-10","-0.27","3650","3735","3605","255197","936577803","118590681905","32446151"
"009180","Hansol Logistics","3115","10","0.32","3095","3130","3085","116089","361382072","87705394875","28155825"
"004710","HansolTechnics","5370","-120","-2.19","5510","5530","5355","128957","697277980","172430044860","32109878"
"009240","Hanssem","44650","400","0.90","44300","44900","44300","23735","1060443600","1050789885200","23533928"
"003680","HansungEnt","5440","-70","-1.27","5490","5610","5390","149615","821621960","33779761600","6209515"
"000880","Hanwha","83900","700","0.84","83100","84900","82700","332245","27886927900","6289037866500","74958735"
"082740","Hanwha Engine","38500","400","1.05","38200","39550","37550","848672","32822961275","3212714967000","83447142"
"000370","Hanwha General Ins","5760","-180","-3.03","5880","5890","5680","475713","2753725035","672416150400","116738915"
"042660","Hanwha Ocean","106600","300","0.28","106500","109500","104700","2250745","241414922600","32663667800400","306413394"
"451800","Hanwha REIT","3935","-35","-0.88","3995","3995","3875","1064170","4159893504","706726000000","179600000"
"489790","Hanwha Vision","59000","1200","2.08","57700","59700","56600","560165","32812282350","2978815010000","50488390"
"001750","HanyangSecu","17380","-70","-0.40","17350","17560","17350","17651","307657700","221221920920","12728534"
"001755","HanyangSecu(1P)","16380","-40","-0.24","16270","16520","16130","1891","30974890","8599500000","525000"
"003280","HeungaShipping","1716","-22","-1.27","1738","1759","1711","1100643","1895398492","412569126684","240424899"
"000540","HeungkukF&MIns","4300","60","1.42","4290","4330","4230","68620","293251105","276243373500","64242645"
"000545","HeungkukF&MIns(1P)","8440","260","3.18","8180","8500","8090","23789","197357800","6481920000","768000"
"111110","Hojeon","8090","30","0.37","8070","8110","7990","13903","111651600","75851840000","9376000"
"025750","HomeDeco","719","-2","-0.28","721","727","717","200706","144556831","57926342131","80565149"
"008770","HtlShilla","49700","250","0.51","49500","49950","49150","155738","7724776725","1950631613700","39248121"
"008775","HtlShilla(1P)","43600","-300","-0.68","43900","43900","43500","1053","45932175","32781924400","751879"
"005870","HuneedTechnologies","9320","-200","-2.10","9520","9550","9300","89010","835579735","131561259800","14116015"
"032560","HwangKum S&T","5870","-30","-0.51","5900","5940","5850","7836","46145720","99790000000","17000000"
"010690","Hwashin","8790","-20","-0.23","8850","8980","8690","190754","1687616480","306950403900","34920410"
"004800","Hyosung","88600","-400","-0.45","88600","90000","88300","35881","3195184000","1483200060200","16740407"
"017800","Hyundai Elevator","81600","-1600","-1.92","82500","82500","80100","235547","19210722400","3189938616000","39092385"
"126560","Hyundai Futurenet","3345","25","0.75","3325","3380","3320","28652","95725190","368628851025","110202945"
"001450","Hyundai M&F INS","27800","1650","6.31","26250","28450","26200","1088755","30246632750","2485320000000","89400000"
"004310","Hyundai pharm","3975","-35","-0.87","4010","4155","3950","1138494","4611552086","127200000000","32000000"
"307950","HyundaiAutoever","152400","600","0.40","151800","154600","151800","27721","4236669850","4179414856800","27423982"
"000725","HyundaiEng&Con(1P)","55800","100","0.18","55700","56700","55400","1827","102024150","58851869400","1054693"
"000720","HyundaiEng&Const","63800","-100","-0.16","63800","64800","62900","809953","51743460500","7104497807000","111355765"
"005380","HyundaiMtr","217500","1500","0.69","216000","219000","216000","546695","118932771250","44534814105000","204757766"
"005385","HyundaiMtr(1P)","166000","1000","0.61","165000","166700","164700","83657","13888363900","3874599360000","23340960"
"005387","HyundaiMtr(2PB)","169500","500","0.30","168800","170800","168600","96139","16319277350","5926386135000","34963930"
"005389","HyundaiMtr(3PB)","165500","1000","0.61","164100","166500","164100","17574","2913054650","385193306000","2327452"
"024110","IBK","19460","-30","-0.15","19540","19690","19420","1245412","24287654395","15517907410740","797425869"
"350520","IGIS RESIDENCE REIT","4070","25","0.62","4055","4085","4040","76037","308664110","150045442140","36866202"
"334890","IGIS Value Plus REIT","4500","135","3.09","4365","4530","4340","340267","1512484277","231495610500","51443469"
"003560","IHQ","10760","0","0.00","0","0","0","0","0","76220934800","7083730"
"000230","ILDONG HOLDINGS","8560","-30","-0.35","8600","8630","8380","20336","173508880","98785824000","11540400"
"249420","ILDONG PHARM","21050","700","3.44","20950","21300","20050","507117","10470300475","652828954600","31013252"
"081000","ILJIN DIAMOND","12610","50","0.40","12870","12870","12550","5195","65933725","179099514750","14202975"
